County,m1702
Adams,"$602,151"
Alamosa,NR
Arapahoe,"$1,330,979"
Archuleta,NR
Boulder,"$1,728,022"
Chaffee,NR
Clear Creek,"$59,126"
Costilla,NR
Denver,"$14,300,291"
Eagle,"$136,357"
El Paso,"$7,876,520"
Fremont,"$164,115"
Garfield,"$274,508"
Gilpin,NR
Grand,NR
Gunnison,NR
Jefferson,"$1,519,126"
La Plata,"$282,052"
Larimer,"$1,041,868"
Las Animas,"$31,212"
Mesa,NR
Moffat,NR
Montezuma,"$57,030"
Montrose,NR
Morgan,NR
Otero,NR
Ouray,NR
Park,NR
Pitkin,"$64,017"
Pueblo,"$562,271"
Routt,"$161,179"
San Miguel,"$22,889"
Sedgwick,NR
Summit,"$138,716"
Teller,NR
Weld,270319
Sum of NR Counties,451665
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
