County,r1810
Adams,"$7,365,401 "
Arapahoe,"$10,245,761 "
Archuleta,"$722,415 "
Boulder,"$7,850,413 "
Chaffee,"$445,329 "
Clear Creek,"$516,655 "
Conejos,"$514,891 "
Costilla,"$349,525 "
Crowley,NR
Denver,"$32,338,630 "
Eagle,"$1,069,220 "
El Paso,NR
Garfield,"$1,690,316 "
Gilpin,"$194,984 "
Grand,"$392,970 "
Gunnison,"$567,511 "
Huerfano,NR
Jefferson,"$4,153,968 "
Lake,"$218,867 "
La Plata,"$2,153,231 "
Larimer,"$6,622,929 "
Las Animas,"$4,273,377 "
Mesa,"$1,647,110 "
Moffat,"$510,016 "
Montezuma,"$1,896,742 "
Morgan,NR
Otero,NR
Ouray,"$612,355 "
Park,"$368,779 "
Pitkin,"$694,980 "
Pueblo,"$5,001,654 "
Routt,"$851,265 "
Saguache,"$175,549 "
San Juan,NR
San Miguel,"$284,125 "
Sedgwick,NR
Summit,"$1,336,205 "
Weld,"$2,362,252 "
Sum of NR Counties,"$3,877,969 "
